test,metric,value
info,server,127.0.0.1:9000
info,clientId,home-pc
info,localEndpoint,127.0.0.1:54352
info,observedEndpoint,127.0.0.1:54352
handshake,ok,True
echo,sent,100
echo,received,100
echo,lossPercent,0,00
echo,minRttMs,0,4
echo,avgRttMs,0,5
echo,maxRttMs,2,4
echo,p95RttMs,0,6
sizeSweep_64,lossPercent,0,00,avgRttMs,0,5,maxRttMs,1,5,received,50,sent,50
sizeSweep_128,lossPercent,0,00,avgRttMs,0,4,maxRttMs,0,6,received,50,sent,50
sizeSweep_256,lossPercent,0,00,avgRttMs,0,4,maxRttMs,0,5,received,50,sent,50
sizeSweep_512,lossPercent,0,00,avgRttMs,0,4,maxRttMs,0,5,received,50,sent,50
sizeSweep_1000,lossPercent,0,00,avgRttMs,0,4,maxRttMs,1,2,received,50,sent,50
sizeSweep_1200,lossPercent,0,00,avgRttMs,0,4,maxRttMs,0,5,received,50,sent,50
sizeSweep_1300,lossPercent,0,00,avgRttMs,0,4,maxRttMs,0,5,received,50,sent,50
sizeSweep_1400,lossPercent,0,00,avgRttMs,0,4,maxRttMs,1,received,50,sent,50
sizeSweep_1472,lossPercent,0,00,avgRttMs,0,4,maxRttMs,0,5,received,50,sent,50
sizeSweep_1500,lossPercent,0,00,avgRttMs,0,4,maxRttMs,0,6,received,50,sent,50
sizeSweep_2000,lossPercent,0,00,avgRttMs,0,5,maxRttMs,0,6,received,50,sent,50
sizeSweep_4096,lossPercent,0,00,avgRttMs,0,5,maxRttMs,0,9,received,50,sent,50
sizeSweep_8192,lossPercent,0,00,avgRttMs,0,6,maxRttMs,2,received,50,sent,50
sizeSweep_16384,lossPercent,0,00,avgRttMs,0,7,maxRttMs,0,9,received,50,sent,50
sizeSweep_32768,lossPercent,0,00,avgRttMs,0,9,maxRttMs,2,1,received,50,sent,50
sizeSweep_60000,lossPercent,0,00,avgRttMs,1,2,maxRttMs,3,7,received,50,sent,50
burst_100,lossPercent,0,00,receiveRate,49,8,durationMs,2006,2
burst_1000,lossPercent,0,00,receiveRate,487,1,durationMs,2053,1
burst_5000,lossPercent,0,00,receiveRate,2199,3,durationMs,2273,4
recommend,payloadSize,60000
recommend,keepAliveSeconds,30
